,identifier,genre,genreId
0,com.ulkagames.callbridge,Card,GAME_CARD
1,com.tbegames.and.poker_games_texas,Card,GAME_CARD
2,com.teenpatti.hd.gold,Casino,GAME_CASINO
3,com.jungleegames.rummy,Card,GAME_CARD
4,air.com.ace2three.mobile,Card,GAME_CARD
5,com.abzorbagames.poker,Casino,GAME_CASINO
6,air.ru.crazypanda.wpcm,Card,GAME_CARD
7,com.zynga.livepoker,Casino,GAME_CASINO
8,com.playtika.wsop.gp,Card,GAME_CARD
9,eu.ganymede.pokerhd,Card,GAME_CARD
10,com.poker.texaspoker.texasholdem,Card,GAME_CARD
11,com.games24x7.ultimaterummy.playstore,Card,GAME_CARD
12,betting.tips.probet,Sports,SPORTS
13,org.betup,Sports,GAME_SPORTS
14,com.betmines,Sports,SPORTS
15,com.cardgames.andar.bahar,Card,GAME_CARD
16,com.bettingpros.bettingpros,Sports,SPORTS
17,com.olbg.tipsandroid2,Sports,SPORTS
18,com.kingpin,Sports,SPORTS
19,com.akilliuygulamalar.expertbettingtips,Sports,SPORTS
20,com.hiba.megatipsbet,Sports,SPORTS
21,com.kevoya.soccerbet,Sports,SPORTS
22,com.scores365,Sports,SPORTS
23,com.betacular.app.betfairviewer2,Sports,SPORTS
24,htft.apcdi,Sports,SPORTS
25,com.whatsapp.w4b,Communication,COMMUNICATION
26,com.google.android.apps.vega,Business,BUSINESS
27,com.norbsoft.oriflame.businessapp,Business,BUSINESS
28,com.phonepe.app.business,Finance,FINANCE
29,com.paytm.business,Finance,FINANCE
30,com.google.android.apps.nbu.paisa.merchant,Finance,FINANCE
31,com.bharatpe.app,Finance,FINANCE
32,px.indianoil.in,Business,BUSINESS
33,com.paypal.merchant.client,Business,BUSINESS
34,com.comuto,Travel & Local,TRAVEL_AND_LOCAL
35,com.airbnb.android,Travel & Local,TRAVEL_AND_LOCAL
36,com.ouibus.mobile,Travel & Local,TRAVEL_AND_LOCAL
37,com.makemytrip,Travel & Local,TRAVEL_AND_LOCAL
38,com.tripadvisor.tripadvisor,Travel & Local,TRAVEL_AND_LOCAL
39,com.ixigo,Travel & Local,TRAVEL_AND_LOCAL
40,com.goibibo,Travel & Local,TRAVEL_AND_LOCAL
41,com.ixigo.train.ixitrain,Travel & Local,TRAVEL_AND_LOCAL
42,com.easemytrip.android,Travel & Local,TRAVEL_AND_LOCAL
43,com.beatravelbuddy.travelbuddy,Travel & Local,TRAVEL_AND_LOCAL
44,com.booking,Travel & Local,TRAVEL_AND_LOCAL
45,com.cleartrip.android,Travel & Local,TRAVEL_AND_LOCAL
46,in.goindigo.android,Travel & Local,TRAVEL_AND_LOCAL
47,in.redbus.android,Travel & Local,TRAVEL_AND_LOCAL
48,com.wego.android,Travel & Local,TRAVEL_AND_LOCAL
49,com.expedia.bookings,Travel & Local,TRAVEL_AND_LOCAL
50,com.tripoto,Travel & Local,TRAVEL_AND_LOCAL
51,com.thrillophilia,Travel & Local,TRAVEL_AND_LOCAL
52,com.yatra.base,Travel & Local,TRAVEL_AND_LOCAL
53,app.via,Travel & Local,TRAVEL_AND_LOCAL
54,com.ezy.goair,Travel & Local,TRAVEL_AND_LOCAL
55,com.vl.spicejet,Travel & Local,TRAVEL_AND_LOCAL
56,com.vistara.tsal,Travel & Local,TRAVEL_AND_LOCAL
57,com.allfoodapp.foodmania,Food & Drink,FOOD_AND_DRINK
58,in.swiggy.android,Food & Drink,FOOD_AND_DRINK
59,com.application.zomato,Food & Drink,FOOD_AND_DRINK
60,com.ubercab.eats,Food & Drink,FOOD_AND_DRINK
61,com.dunzo.user,Shopping,SHOPPING
62,com.poncho,Food & Drink,FOOD_AND_DRINK
63,com.pesitonew.india,Food & Drink,FOOD_AND_DRINK
64,com.yum.kfc,Food & Drink,FOOD_AND_DRINK
65,com.Dominos,Food & Drink,FOOD_AND_DRINK
66,com.homefoodi.user,Food & Drink,FOOD_AND_DRINK
67,com.il.mcdelivery,Food & Drink,FOOD_AND_DRINK
68,com.india.foodpanda.android,Food & Drink,FOOD_AND_DRINK
69,com.freshmenu,Food & Drink,FOOD_AND_DRINK
70,com.deliveroo.orderapp,Food & Drink,FOOD_AND_DRINK
71,com.digilocker.android,Productivity,PRODUCTIVITY
72,com.google.android.apps.docs.editors.docs,Productivity,PRODUCTIVITY
73,com.microsoft.office.word,Productivity,PRODUCTIVITY
74,com.skydot.docxreader.docx.docxviewer.document.doc.office.viewer.reader.word,Tools,TOOLS
75,cn.wps.moffice_eng,Productivity,PRODUCTIVITY
76,com.officedocument.word.docx.document.viewer,Productivity,PRODUCTIVITY
77,com.docstorer.app,Tools,TOOLS
78,com.document.manager.filescanner,Business,BUSINESS
